,Unnamed: 0,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries,disaster
0,51940,2008-10-23-057784,"they're running up to play run defense, and we can surprise them with the throw every once in a while. it definitely helps set up a big pass play, but it's definitely a lot less passes, too.",troy calhoun,Q7846785,2008-10-23 03:31:14,1,['http://gazette.com/sports/option_42273___article.html/triple_air.html'],A,0.5571,['US'],1
1,34659,2008-10-29-014667,"however, i knew athol from our shared passion for the political side of medicine. we both were privileged to have been elected to serve in our respective roles as president of the canadian medical association.",colin mcmillan,Multiple,2008-10-29 04:06:30,1,['http://theguardian.pe.ca/index.cfm?sid=184597&sc=98'],A,0.7189,['CA'],1
2,36313,2008-11-24-061382,"why did kelly and jessica have to die? it's sad. it's horrible. it's tragic,",matt mitchell,Multiple,2008-11-24 10:41:27,1,['http://bnd.com/homepage/story/552938.html'],A,0.5843,['US'],1
3,70031,2008-09-27-037709,to think someone was taking money at a time when we had to take people off health care.,linda berglin,Q13562381,2008-09-27 04:55:22,2,"['http://startribune.com/politics/state/29801879.html'
 'http://bulletin.aarp.org/states/hi/articles/feds_probe_theft_of_m_health_care_funds_a_state_employee_allegedly_cashed_fraudulent_checks_for_nearly__million_from_health_care_funds_for_the_poor_and_disabled_the_human_services_midlevel_supervisor_is_on_administrative_leave.html']",A,0.7615,['US'],1
4,77381,2008-12-12-001887,"all parts of the turner entertainment networks portfolio will now be put through the same filter -- original programming, acquisitions -- and will be informing one another and working together to expand the reach of the networks,",michael wright,Multiple,2008-12-12 05:14:36,2,['http://hollywoodreporter.com/hr/content_display/television/news/e3i9a7a67698d1308f8e987e038a8978aa6'],A,0.7261,['US'],1
5,19972,2008-10-31-048668,this was after a period of over two-and-a-half years of incommunicado detention during which binyam mohamed alleges he was tortured.,binyam mohamed,Q2903990,2008-10-31 09:19:30,7,"['http://rainbowwarrior2005.wordpress.com/2008/10/31/cia-officers-could-face-trial-in-britain-over-torture-allegations'
 'http://truthout.org/103108K'
 'http://rinf.com/alt-news/war-terrorism/cia-officers-could-face-trial-in-britain-over-torture-allegations/4779'
 'http://blog.myspace.com/index.cfm?fuseaction=blog.view&friendID=33891466&blogID=445257001'
 'http://forum.prisonplanet.com/index.php?topic=68013.msg361029#msg361029'
 'http://forum.prisonplanet.com/index.php?topic=68013.msg361065#msg361065'
 'http://forum.prisonplanet.com/index.php?topic=68013.msg361572#msg361572']",A,0.6953,['US'],1
6,5467,2008-12-01-024625,"in almost all cases we try and get them back to frontline operational duties,",ian macdonald,Multiple,2008-12-01 19:42:47,1,['http://cbc.ca/canada/british-columbia/story/2008/12/01/bc-rcmp-treatment-programs-alcohol-abuse.html?ref=rss'],A,0.7127,['CA'],1
7,61838,2008-09-17-010394,drive costs down with interstate competition.,john mccain,Q10390,2008-09-17 17:09:53,3,"['http://alankatz.wordpress.com/2008/09/17/health-care-reform-and-the-gop-platform'
 'http://alankatz.wordpress.com/category/presidential-election/'
 'http://alankatz.wordpress.com/2008/09/']",A,0.5519,['US'],1
8,56240,2008-10-01-048022,that's what we like to pride ourselves on a little bit.,cameron smith,Multiple,2008-10-01 08:09:32,1,['http://sportal.com.au/default.aspx/league-news-display/storm-talk-up-manly-57814'],A,0.2968,['AS'],1
9,56010,2008-10-17-042404,"one of the biggest statistics in football is ball-security ratio,",darian durant,Q5222702,2008-10-17 23:43:43,4,"['http://us.rd.yahoo.com/sports/rss//SIG=12gq3p5ic/*http%3A//sports.yahoo.com/cfl/news?slug=cp-cfl_ticats_riders&prov=cp&type=lgns'
 'http://sportsnet.ca/football/cfl/2008/10/17/riders_ticats_pre'
 'http://cfl.ca/article/durant-to-lead-riders-against-ticats'
 'http://sports.sympatico.msn.cbc.ca/abc/News/ContentPosting.aspx?isfa=1&feedname=CBC-SPORTS-V3&showbyline=True&newsitemid=hamilton-sask-preview']",A,0.322,['US' 'CA'],1
